,Brand,Name,Img_Url,Price
73,Parsifal,Raymond WeilParsifal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-parsifal-2970-st-00308_1.jpg,"2,27,700"
74,Tradition,Raymond WeilTradition,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-tradition-5476-p-00307_1.jpg,"78,500"
75,Florence,RadoFlorence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-florence-r48792723.jpg,"60,300"
76,Constellation,OmegaConstellation,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/o/m/omega-constellation-123-20-38-21-63-001.jpg,N/A
77,Parsifal,Raymond WeilParsifal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/raymond-weil-parsifal-2970-sc5-00208.jpg,"2,76,500"
78,Classics,Frederique ConstantClassics,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-persuasion-fc-270m4p6.jpg,"70,200"
79,Classics,Frederique ConstantClassics,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/c/fc-292sb4b26_.jpg,"58,300"
80,Classics,Frederique ConstantClassics,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/F/C/FC_303MC4P5_1.jpg,"1,06,900"
81,Classics,Frederique ConstantClassics,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/c/fc-315m4p5.jpg,"1,43,200"
82,Manufacture,Frederique ConstantManufacture,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-maxime-fc-700smg5m6.jpg,"2,26,300"
83,Classics,Frederique ConstantClassics,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-classics-fc-270em4p5.jpg,"77,500"
84,Florence,RadoFlorence,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/4/r48793154-115-3793-2-115.jpg,"51,900"
